id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
110,2022-03-31 05:05:28.12161+00,146,,610,38,1,,2022-03-23 05:17:26+00,2022-03-22 05:17:24+00,12,596,2022-03-23 05:17:26+00,2022-03-22 05:17:24+00,,,,,,,,,,,,,,,,,,,,,,,,,
116,2022-04-04 04:59:34.457767+00,146,,637,38,1,,2022-04-05 04:59:25+00,2022-04-04 04:59:24+00,12,596,2022-04-05 04:59:25+00,2022-04-04 04:59:24+00,,,,,,,,,,,,,,,,,,,,,,,,,
117,2022-04-07 05:10:59.444651+00,146,,637,38,1,,2022-04-06 06:38:55+00,2022-04-05 06:38:54+00,12,596,2022-04-06 06:38:55+00,2022-04-05 06:38:54+00,,,,,,,,,,,,,,,,,,,,,,,,,
118,2022-04-08 05:30:55.189846+00,146,,637,38,1,,2022-04-07 06:38:55+00,2022-04-05 06:38:54+00,12,596,2022-04-07 06:38:55+00,2022-04-05 06:38:54+00,,,,,,,,,,,,,,,,,,,,,,,,,
135,2022-04-27 09:13:24.594262+00,146,,637,38,1,,2022-04-28 05:26:23+00,2022-04-26 05:26:21+00,12,596,2022-04-28 05:26:23+00,2022-04-26 05:26:21+00,,,,,,,,,,,,,,,,,,,,,,,,,
119,2022-04-10 07:50:04.299287+00,146,,637,38,1,,2022-04-11 05:31:04+00,2022-04-08 05:31:03+00,12,596,2022-04-11 05:31:04+00,2022-04-08 05:31:03+00,,,,,,,,,,,,,,,,,,,,,,,,,
120,2022-04-12 06:06:19.860203+00,146,,637,38,1,,2022-04-12 07:50:16+00,2022-04-10 07:50:13+00,12,596,2022-04-12 07:50:16+00,2022-04-10 07:50:13+00,,,,,,,,,,,,,,,,,,,,,,,,,
138,2022-05-01 08:16:29.453164+00,146,,658,38,1,,2022-04-15 09:13:32+00,2022-04-01 09:13:30+00,12,596,2022-04-15 09:13:32+00,2022-04-01 09:13:30+00,,,,,,,,,,,,,,,,,,,,,,,,,
121,2022-04-12 06:18:06.681283+00,146,,637,38,1,,2022-04-14 06:06:36+00,2022-04-12 06:06:33+00,12,596,2022-04-14 06:06:36+00,2022-04-12 06:06:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
122,2022-04-15 05:23:53.71714+00,146,,637,38,1,,2022-04-13 06:20:29+00,2022-04-12 06:20:27+00,12,596,2022-04-13 06:20:29+00,2022-04-12 06:20:27+00,,,,,,,,,,,,,,,,,,,,,,,,,
139,2022-05-05 08:22:00.459498+00,146,,637,38,1,,2022-05-02 08:16:42+00,2022-05-01 08:16:40+00,12,596,2022-05-02 08:16:42+00,2022-05-01 08:16:40+00,,,,,,,,,,,,,,,,,,,,,,,,,
123,2022-04-17 07:00:52.927499+00,146,,637,38,1,,2022-04-18 05:24:01+00,2022-04-15 05:23:59+00,12,596,2022-04-18 05:24:01+00,2022-04-15 05:23:59+00,,,,,,,,,,,,,,,,,,,,,,,,,
124,2022-04-19 05:14:59.861259+00,146,,637,38,1,,2022-04-19 07:01:00+00,2022-04-17 07:00:58+00,12,596,2022-04-19 07:01:00+00,2022-04-17 07:00:58+00,,,,,,,,,,,,,,,,,,,,,,,,,
140,2022-05-10 06:20:13.115364+00,146,,637,38,1,,2022-05-06 08:22:15+00,2022-05-05 08:22:13+00,12,596,2022-05-06 08:22:15+00,2022-05-05 08:22:13+00,,,,,,,,,,,,,,,,,,,,,,,,,
125,2022-04-20 05:06:07.090224+00,146,,637,38,1,,2022-04-21 05:15:08+00,2022-04-19 05:15:06+00,12,596,2022-04-21 05:15:08+00,2022-04-19 05:15:06+00,,,,,,,,,,,,,,,,,,,,,,,,,
126,2022-04-21 05:24:43.020818+00,146,,637,38,1,,2022-04-22 05:06:15+00,2022-04-20 05:06:12+00,12,596,2022-04-22 05:06:15+00,2022-04-20 05:06:12+00,,,,,,,,,,,,,,,,,,,,,,,,,
141,2022-05-13 05:48:42.755948+00,146,,637,38,1,,2022-05-11 06:20:27+00,2022-05-10 06:20:25+00,12,664,2022-05-11 06:20:27+00,2022-05-10 06:20:25+00,,,,,,,,,,,,,,,,,,,,,,,,,
127,2022-04-22 05:22:15.449686+00,146,,637,38,1,,2022-04-25 05:24:51+00,2022-04-21 05:24:49+00,12,596,2022-04-25 05:24:51+00,2022-04-21 05:24:49+00,,,,,,,,,,,,,,,,,,,,,,,,,
142,2022-05-14 07:53:22.347235+00,146,,637,38,1,,2022-05-16 05:48:52+00,2022-05-13 05:48:51+00,12,664,2022-05-16 05:48:52+00,2022-05-13 05:48:51+00,,,,,,,,,,,,,,,,,,,,,,,,,
128,2022-04-24 07:55:38.017847+00,146,,637,38,1,,2022-04-25 05:22:22+00,2022-04-22 05:22:21+00,12,596,2022-04-25 05:22:22+00,2022-04-22 05:22:21+00,,,,,,,,,,,,,,,,,,,,,,,,,
143,2022-05-18 07:26:23.989171+00,146,,637,38,1,,2022-05-15 07:53:37+00,2022-05-14 07:53:34+00,12,664,2022-05-15 07:53:37+00,2022-05-14 07:53:34+00,,,,,,,,,,,,,,,,,,,,,,,,,
144,2022-05-18 12:39:29.774608+00,146,,637,38,1,,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,12,664,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,,,,,,,,,,,,,,,,,,,,,,,,,
145,2022-05-19 05:39:08.79743+00,146,,667,38,1,,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,12,664,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,,,,,,,,,,,,,,,,,,,,,,,,,
